directory,model_type,image_input,prefab_enabled,scene,total_steps,unit_count
qwen_20260213_160916_ability_map_8marine_3marauder_1medivac_1tank,VLM,True,True,MMM场景,16,13
qwen_20260213_160916_ability_MMM2,VLM,True,True,MMM2场景,16,14
qwen_20260213_160916_vlm_attention_1,VLM,True,False,VLM注意力机制,11,13
qwen_20260213_172642_vlm_attention_1,VLM,True,False,VLM注意力机制,12,13
qwen_20260213_172646_ability_map_8marine_3marauder_1medivac_1tank,VLM,True,True,MMM场景,16,13
qwen_20260213_172649_ability_MMM2,VLM,True,True,MMM2场景,16,14
qwen_20260213_201016_vlm_attention_1,VLM,True,False,VLM注意力机制,12,13
qwen_20260213_201018_ability_map_8marine_3marauder_1medivac_1tank,VLM,True,True,MMM场景,16,13
qwen_20260213_201025_ability_MMM2,VLM,True,True,MMM2场景,16,14
qwen_20260214_095929_vlm_attention_1,VLM,True,False,VLM注意力机制,11,13
qwen_20260214_095942_ability_map_8marine_3marauder_1medivac_1tank,VLM,True,True,MMM场景,16,13
qwen_20260214_095946_ability_MMM2,VLM,True,True,MMM2场景,16,14
